"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -2.056960199,      -1.516143715,      -2.326756307,      -1.463863596
          0,           0,           1,      -2.190910584,      -1.632814363,      -2.452204714,       -1.59443238
          0,           0,           2,      -2.347751081,      -1.789264825,      -2.604233155,      -1.749826692
          0,           0,           3,      -2.470866317,       -1.94628669,      -2.759485913,      -1.874847879
          0,           0,           4,       -2.53784893,      -2.064149075,      -2.856470591,      -1.941055368
          0,           0,           5,      -2.652520638,      -2.195618126,      -2.927319348,      -2.066118569
          0,           0,           6,      -2.746812901,      -2.322077312,      -2.987078954,      -2.178859673
          0,           0,           7,      -2.812509917,      -2.413893821,      -2.995532901,      -2.253632533
          0,           0,           8,      -2.887674769,      -2.516482561,      -3.024208749,      -2.351485916
          0,           0,           9,      -2.949617859,       -2.59918399,      -3.054472199,       -2.42379274
          0,           0,          10,       -3.00422601,      -2.654605059,      -3.111376784,      -2.479837225
          0,           0,          11,      -3.052645794,      -2.696027819,      -3.167854652,      -2.530327316
          0,           0,          12,      -3.096541143,      -2.726998667,      -3.175563593,      -2.567969287
          0,           0,          13,       -3.11811166,      -2.762938164,      -3.217953944,      -2.590390638
          0,           0,          14,      -3.179227871,      -2.804108104,      -3.249241848,      -2.653980206
          0,           0,          15,      -3.179849566,      -2.815097737,      -3.178028699,      -2.639429219
          0,           0,          16,      -3.209023337,      -2.833677263,       -3.18733136,      -2.653803144
          0,           0,          17,      -3.236898886,      -2.850027912,      -3.152745018,      -2.672046773
          0,           0,          18,      -3.268711937,      -2.867055196,      -3.275220609,      -2.701955382
          0,           0,          19,      -3.280248432,      -2.877166231,      -3.246832094,       -2.72120761
          0,           0,          20,      -3.290910405,       -2.88148693,      -3.240137509,      -2.737102436
          0,           0,          21,      -3.286211086,      -2.883402067,       -3.25737645,      -2.733645471
          0,           0,          22,      -3.285645729,      -2.879847487,      -3.294745629,      -2.747294272
          0,           0,          23,      -3.279062345,      -2.879539442,      -3.268928366,      -2.746030229
          0,           0,          24,      -3.277896732,      -2.877573208,      -3.216982319,      -2.737856915
          0,           0,          25,      -3.290717582,      -2.883522665,      -3.171112474,      -2.745938934
          0,           0,          26,      -3.290966991,      -2.869688478,      -3.250361233,      -2.742231355
          0,           0,          27,      -3.280994013,      -2.859262664,      -3.258761777,      -2.735862848
          0,           0,          28,      -3.239794161,      -2.815759004,      -3.299466638,      -2.682547076
          0,           0,          29,      -3.215143981,      -2.785264477,      -3.318465131,      -2.646060307
          0,           0,          30,      -3.208437191,      -2.791564811,      -3.318197478,      -2.637208773
          0,           0,          31,      -3.196951696,      -2.787289367,      -3.299944783,      -2.630353816
          0,           0,          32,      -3.223924379,      -2.827057859,      -3.214121958,      -2.683976396
          0,           0,          33,      -3.227673377,      -2.819271132,      -3.132671374,      -2.694818497
          0,           0,          34,      -3.236730056,      -2.848377191,      -3.229834919,      -2.711628743
          0,           0,          35,      -3.245013659,      -2.846007388,      -3.234920945,      -2.726573354
          0,           0,          36,      -3.262277841,      -2.860690802,      -3.279142066,      -2.737164796
          0,           0,          37,      -3.285057239,      -2.872004732,       -3.35479358,      -2.757258532
          0,           0,          38,      -3.298596441,      -2.880111332,      -3.338163353,      -2.773888171
          0,           0,          39,      -3.291055529,      -2.879257514,      -3.258156269,      -2.757444179
          0,           0,          40,      -3.305262943,      -2.885437049,      -3.249909021,       -2.76815561
          0,           0,          41,       -3.30825717,      -2.895270133,       -3.20004473,      -2.770228047
          0,           0,          42,      -3.292161227,      -2.893561821,      -3.188839733,      -2.751477848
          0,           0,          43,      -3.292615788,      -2.899851802,      -3.201099665,      -2.757813148
          0,           0,          44,      -3.310340906,      -2.907250012,      -3.258559917,       -2.78261084
          0,           0,          45,      -3.322240508,      -2.908317998,        -3.2704855,      -2.802624334
          0,           0,          46,      -3.317184565,      -2.910529919,      -3.255154767,      -2.776631422
          0,           0,          47,      -3.337626843,      -2.910091383,      -3.350077209,      -2.800111151
          0,           0,          48,      -3.357927872,      -2.919983457,       -3.43394905,      -2.815912911
          0,           0,          49,      -3.320127287,      -2.900961932,       -3.34976677,      -2.757864544
          0,           0,          50,      -3.284574065,      -2.889298202,      -3.237297882,      -2.708075269
          0,           0,          51,      -3.249139316,      -2.862120035,       -3.13614589,      -2.663460465
          0,           0,          52,      -3.250953548,      -2.857310673,      -3.251591406,       -2.65880071
          0,           0,          53,      -3.239223715,      -2.842771458,      -3.288652387,      -2.650105688
          0,           0,          54,        -3.2505314,      -2.847507745,       -3.32433783,      -2.661010428
          0,           0,          55,      -3.238822577,      -2.837233039,      -3.278374346,      -2.659942776
          0,           0,          56,      -3.239455877,      -2.837823537,      -3.281240594,       -2.65466987
          0,           0,          57,      -3.256190752,      -2.843195854,      -3.344458159,      -2.672755568
          0,           0,          58,      -3.246966495,      -2.847241212,      -3.286728091,      -2.674837422
          0,           0,          59,      -3.261974154,       -2.85998022,      -3.146095635,      -2.703160394
          0,           0,          60,      -3.271429505,      -2.876672593,      -3.168531128,      -2.707981308
          0,           0,          61,      -3.301742497,      -2.890334477,       -3.24797881,      -2.735702001
          0,           0,          62,      -3.316370706,      -2.898693334,      -3.265963398,      -2.758593341
          0,           0,          63,      -3.315899658,      -2.903463403,      -3.220851441,      -2.759055481
          0,           0,          64,      -3.341481328,      -2.911569233,      -3.276530576,      -2.777865381
          0,           0,          65,       -3.37064348,      -2.924904848,       -3.32351972,      -2.793137324
          0,           0,          66,      -3.384546885,      -2.921507188,      -3.366964538,      -2.798901041
          0,           0,          67,      -3.394735068,      -2.929629417,       -3.35911131,      -2.816253661
          0,           0,          68,      -3.388474667,       -2.92017494,      -3.270664557,      -2.816710707
          0,           0,          69,      -3.373355175,      -2.925079274,      -3.182234035,      -2.793644928
          0,           0,          70,      -3.352145227,      -2.914586823,      -3.249718797,      -2.774179559
          0,           0,          71,      -3.352112142,      -2.920407256,      -3.245574055,      -2.778589431
          0,           0,          72,      -3.346370719,      -2.915646313,      -3.300662557,      -2.786977274
          0,           0,          73,      -3.350636419,      -2.921772599,      -3.328994382,      -2.802446517
          0,           0,          74,      -3.348470068,      -2.918681444,      -3.304172064,      -2.812061996
          0,           0,          75,      -3.347823682,      -2.920020407,      -3.307757328,      -2.813231508
          0,           0,          76,        -3.3719869,      -2.927266106,      -3.369763752,      -2.845485733
          0,           0,          77,      -3.380398841,      -2.930853576,      -3.365400888,      -2.854013452
