"Mach","x","Points:0","Points:1","Points:2"
0.24112,-1.2462,-8.1,0,0
0.24175,-1.2349,-8.0269,0,0
0.24237,-1.2237,-7.9538,0,0
0.243,-1.2124,-7.8807,0,0
0.2437,-1.2012,-7.8076,0,0
0.24444,-1.1899,-7.7345,0,0
0.24518,-1.1787,-7.6614,0,0
0.24601,-1.1674,-7.5883,0,0
0.24721,-1.1562,-7.5152,0,0
0.24842,-1.1449,-7.4421,0,0
0.24963,-1.1337,-7.369,0,0
0.2515,-1.1224,-7.2959,0,0
0.2536,-1.1112,-7.2228,0,0
0.2557,-1.1,-7.1497,0,0
0.258,-1.0887,-7.0766,0,0
0.26074,-1.0775,-7.0035,0,0
0.26348,-1.0662,-6.9304,0,0
0.26622,-1.055,-6.8573,0,0
0.26931,-1.0437,-6.7842,0,0
0.27246,-1.0325,-6.7111,0,0
0.27561,-1.0212,-6.638,0,0
0.27886,-1.01,-6.5649,0,0
0.28228,-0.99874,-6.4918,0,0
0.28569,-0.98749,-6.4187,0,0
0.28911,-0.97625,-6.3456,0,0
0.29346,-0.965,-6.2725,0,0
0.29812,-0.95375,-6.1994,0,0
0.30377,-0.94251,-6.1263,0,0
0.30911,-0.93126,-6.0532,0,0
0.31403,-0.92002,-5.9801,0,0
0.31948,-0.90877,-5.907,0,0
0.32516,-0.89752,-5.8339,0,0
0.33145,-0.88628,-5.7608,0,0
0.33781,-0.87503,-5.6877,0,0
0.34429,-0.86378,-5.6146,0,0
0.3509,-0.85254,-5.5415,0,0
0.35771,-0.84129,-5.4684,0,0
0.36472,-0.83005,-5.3953,0,0
0.37183,-0.8188,-5.3222,0,0
0.37929,-0.80755,-5.2491,0,0
0.38682,-0.79631,-5.176,0,0
0.39455,-0.78506,-5.1029,0,0
0.40237,-0.77382,-5.0298,0,0
0.41034,-0.76257,-4.9567,0,0
0.41851,-0.75132,-4.8836,0,0
0.42683,-0.74008,-4.8105,0,0
0.43578,-0.72883,-4.7374,0,0
0.44488,-0.71758,-4.6643,0,0
0.45416,-0.70634,-4.5912,0,0
0.46425,-0.69509,-4.5181,0,0
0.47493,-0.68385,-4.445,0,0
0.48542,-0.6726,-4.3719,0,0
