"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       1.620526438,       3.920681288,       3.371680117,        6.58156225
          0,           0,           1,       1.557174331,       3.793419795,       3.308491547,       6.523466318
          0,           0,           2,       1.495740602,       3.644174515,       3.246927636,       6.463861752
          0,           0,           3,        1.43523299,       3.508702635,       3.175829317,       6.405472009
          0,           0,           4,       1.375882376,       3.402773221,       3.097610312,       6.348206957
          0,           0,           5,       1.309132096,       3.316673847,       3.006833032,       6.284025122
          0,           0,           6,       1.224137078,       3.225377809,       2.905746976,       6.201746075
          0,           0,           7,       1.105716965,       3.114509757,       2.816336764,       6.086073779
          0,           0,           8,       0.973122325,       3.008059535,       2.772744263,        5.95534684
          0,           0,           9,      0.8128190739,       2.901362679,       2.742022747,       5.797414999
          0,           0,          10,      0.6294772223,       2.799505638,       2.677675367,       5.613894631
          0,           0,          11,      0.5097955522,        2.71341968,       2.591641586,       5.496542895
          0,           0,          12,       0.449393123,       2.648049865,       2.506431273,       5.438629943
          0,           0,          13,      0.3327356965,       2.584020236,       2.460288871,       5.328690331
          0,           0,          14,      0.2445765913,       2.550104807,       2.413286322,       5.245191827
          0,           0,          15,      0.3131039957,       2.546882082,       2.371325595,       5.313001858
          0,           0,          16,      0.3632492825,       2.541589279,       2.313774899,       5.362644909
          0,           0,          17,      0.3281013126,        2.50837902,       2.271390919,       5.327224336
          0,           0,          18,      0.2310852702,       2.464177711,        2.19834638,       5.231945883
          0,           0,          19,      0.1304248647,        2.43541493,       2.121096504,       5.131261148
          0,           0,          20,     0.05252498547,       2.415816627,       2.061324541,        5.05688667
          0,           0,          21,     -0.0105128222,       2.395201366,       2.032534734,       4.992560607
          0,           0,          22,    -0.05669265654,       2.381857816,       2.042200886,       4.947188019
          0,           0,          23,    -0.08756238425,       2.364234753,       2.003638409,        4.91454814
          0,           0,          24,     -0.1058862253,       2.350095746,       1.957338326,       4.895286824
          0,           0,          25,     -0.1154149767,         2.3313545,       1.939679997,       4.883840915
          0,           0,          26,     -0.1031895745,       2.322503332,       1.989580083,       4.891830124
          0,           0,          27,     -0.1066287275,       2.294760606,       1.987350127,       4.882305469
          0,           0,          28,     -0.1242334265,       2.280157001,       1.939732597,       4.865593277
          0,           0,          29,     -0.1591431445,       2.235381594,       1.939219073,       4.819140221
          0,           0,          30,     -0.1774902548,       2.230900823,       1.925893519,       4.804585503
          0,           0,          31,     -0.1873439781,       2.190919393,        1.94442619,       4.776741156
          0,           0,          32,     -0.2089323961,       2.180735952,       1.906903226,       4.755715671
          0,           0,          33,     -0.2297199141,       2.138473012,        1.92941984,       4.721853451
          0,           0,          34,     -0.2476742172,       2.153794688,       1.907455723,       4.707092627
          0,           0,          35,     -0.2652019571,       2.132998953,       1.901647728,       4.690872522
          0,           0,          36,     -0.2681376348,       2.129350584,       1.812364958,       4.671558758
          0,           0,          37,      -0.276533909,       2.116744111,       1.814502487,       4.669477195
          0,           0,          38,     -0.2564679056,       2.132676508,       1.914063169,       4.684025027
          0,           0,          39,     -0.2655096288,       2.114427744,       1.877240563,       4.671641163
          0,           0,          40,     -0.2827870568,       2.092372718,       1.792772005,       4.641421339
          0,           0,          41,     -0.2795402145,       2.077778705,       1.893468705,       4.645880234
          0,           0,          42,     -0.2559758334,       2.089259872,       1.972282798,       4.672660382
          0,           0,          43,     -0.2683430815,       2.091383681,       1.914876745,        4.65993744
          0,           0,          44,     -0.2820504641,       2.113216442,       1.839666795,       4.658018584
          0,           0,          45,     -0.2707336073,       2.156936001,       1.840471382,       4.686233883
          0,           0,          46,     -0.2522285779,       2.208920515,        1.91133778,       4.735964039
          0,           0,          47,     -0.2329443963,       2.255628957,       1.894321341,       4.771503509
          0,           0,          48,     -0.2384866472,       2.250021298,       1.887664628,       4.773608529
          0,           0,          49,     -0.2294684935,       2.252365939,       1.885622089,       4.768674742
          0,           0,          50,     -0.2385756045,       2.234501406,        1.92550199,       4.758238878
          0,           0,          51,     -0.2276645415,       2.243745192,       1.948375352,       4.763701726
          0,           0,          52,      -0.241031727,       2.237480714,       1.911784554,       4.757969006
          0,           0,          53,     -0.2365054121,       2.250015251,       1.912354071,       4.762267437
          0,           0,          54,     -0.2371611944,       2.245975681,       1.900590706,       4.767294979
          0,           0,          55,     -0.2369730796,       2.250398567,       1.886823142,       4.763640771
          0,           0,          56,     -0.2316811608,       2.247976808,       1.880174295,       4.770292955
          0,           0,          57,     -0.2258757338,       2.252151565,       1.875282624,       4.770109866
          0,           0,          58,     -0.2113371106,       2.246413271,       1.894054512,       4.760636417
          0,           0,          59,     -0.2048883517,       2.238223178,       1.911920096,       4.768415217
          0,           0,          60,     -0.1909464803,       2.236717747,       1.914768877,       4.763218379
          0,           0,          61,     -0.1901035084,       2.231433893,       1.945086609,        4.77444339
          0,           0,          62,     -0.1801754562,       2.232237089,       1.947775357,       4.769959414
          0,           0,          63,     -0.1864783582,       2.223294626,       1.947433365,       4.768020176
          0,           0,          64,     -0.1960220516,       2.211962418,       1.880390168,       4.745026364
          0,           0,          65,     -0.2042068938,        2.20731791,        1.90408261,       4.743158359
          0,           0,          66,     -0.1838723822,       2.222597041,       2.017415953,       4.763506809
          0,           0,          67,      -0.194155231,       2.225531532,         1.9768876,       4.753075919
          0,           0,          68,     -0.2137698854,       2.223593576,       1.920724477,        4.73339644
          0,           0,          69,     -0.2172150217,       2.230014879,       1.919794961,        4.73625406
          0,           0,          70,     -0.1956111403,       2.257172923,       1.984901084,        4.76721726
          0,           0,          71,     -0.1833803395,       2.272398459,       1.991818379,       4.781586526
          0,           0,          72,     -0.1820018956,       2.284671715,       1.913899142,       4.788362686
          0,           0,          73,     -0.1103060215,       2.303138441,       1.916502618,       4.799228205
          0,           0,          74,     -0.1359447636,       2.313878327,       1.960839081,       4.819176058
          0,           0,          75,     -0.1420826224,       2.322173528,       1.924627452,       4.819230894
          0,           0,          76,     -0.1539423054,       2.313931054,       1.816582198,       4.810567027
          0,           0,          77,     -0.1555300054,       2.317748034,       1.824206099,        4.80574619
          0,           0,          78,     -0.1442543222,       2.309829847,       1.944735748,       4.810879961
          0,           0,          79,     -0.1636144991,       2.305756327,       1.922866314,       4.797230891
          0,           0,          80,     -0.1977387023,       2.279267582,       1.857667672,       4.768746879
