"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.151374914,      -2.704558602,      -3.320195565,      -2.547302739
          0,           0,           1,      -3.294399467,      -2.847500312,      -3.447502631,      -2.687220158
          0,           0,           2,      -3.435586818,       -2.99190366,      -3.518729073,      -2.825139041
          0,           0,           3,      -3.563157442,      -3.131166689,      -3.659079769,      -2.953214663
          0,           0,           4,      -3.683646336,      -3.263908959,      -3.824972425,      -3.073044099
          0,           0,           5,      -3.782066358,      -3.385722964,      -3.915598991,      -3.166482684
          0,           0,           6,      -3.866277374,      -3.496292287,      -3.994944662,      -3.248674674
          0,           0,           7,      -3.913520692,      -3.580182979,       -3.84357711,      -3.293592003
          0,           0,           8,      -3.933221861,      -3.549743941,      -3.680374565,      -3.306209376
          0,           0,           9,      -3.890510429,      -3.501311443,      -3.659937143,      -3.276538922
          0,           0,          10,      -3.876414085,      -3.466970072,      -3.695654484,      -3.277045781
          0,           0,          11,      -3.879804001,      -3.437837924,      -3.762535054,      -3.279409398
          0,           0,          12,      -3.858668621,      -3.408439023,      -3.683734132,      -3.257217255
          0,           0,          13,      -3.863555758,      -3.402940163,      -3.706480457,      -3.269168358
          0,           0,          14,      -3.898622371,       -3.39722661,      -3.812542508,      -3.314369844
          0,           0,          15,      -3.878887094,      -3.393020522,      -3.756350937,      -3.311501837
          0,           0,          16,      -3.853788598,      -3.386651404,      -3.608512242,      -3.274130447
          0,           0,          17,      -3.799235852,      -3.379377056,      -3.527751323,      -3.223152698
          0,           0,          18,      -3.761266388,      -3.351546153,      -3.537409288,      -3.184079898
          0,           0,          19,      -3.822098082,      -3.360605685,      -3.639078532,      -3.232873828
          0,           0,          20,      -3.868883014,      -3.364157606,       -3.77871214,      -3.261706999
          0,           0,          21,      -3.843130541,      -3.349434268,      -3.764764621,      -3.243742218
          0,           0,          22,      -3.776420222,      -3.314757151,      -3.658463397,      -3.185576339
          0,           0,          23,      -3.734860407,      -3.269783685,      -3.717645042,      -3.137488672
          0,           0,          24,      -3.675801033,      -3.238128285,      -3.610659961,      -3.068108062
          0,           0,          25,      -3.618825342,      -3.206637674,      -3.549747709,        -3.0174977
          0,           0,          26,      -3.589204985,      -3.187463767,      -3.590145869,      -2.991142088
          0,           0,          27,      -3.621811862,      -3.215030583,       -3.69150143,      -3.019810439
          0,           0,          28,      -3.660670361,      -3.219911284,      -3.780936205,      -3.057410614
          0,           0,          29,      -3.646617019,      -3.213328998,      -3.824047934,      -3.047620496
          0,           0,          30,      -3.627300154,      -3.200642279,      -3.734139816,      -3.028522522
          0,           0,          31,      -3.629842484,      -3.209994809,      -3.725262771,        -3.0309161
          0,           0,          32,      -3.632371573,      -3.207753446,      -3.602780288,      -3.028674423
          0,           0,          33,       -3.61153991,      -3.209301702,      -3.540418596,      -3.012416063
          0,           0,          34,      -3.599642384,       -3.20021304,      -3.582745694,      -3.003255215
          0,           0,          35,      -3.617045388,      -3.205473723,      -3.659078167,      -3.018280282
          0,           0,          36,      -3.630150008,      -3.203317733,      -3.734641519,      -3.026562132
          0,           0,          37,      -3.629438737,      -3.205039789,      -3.771604607,      -3.028562655
          0,           0,          38,       -3.61594139,      -3.197617685,      -3.695081442,       -3.02033312
          0,           0,          39,       -3.62281166,      -3.202714808,      -3.755722339,      -3.024483212
          0,           0,          40,      -3.620360911,      -3.200616461,      -3.611829756,      -3.018132244
          0,           0,          41,      -3.603740224,      -3.202777056,      -3.553445309,      -3.003194679
          0,           0,          42,      -3.590276536,      -3.195755993,      -3.569349618,      -2.991994433
          0,           0,          43,      -3.608597758,      -3.199050146,       -3.65975762,       -3.00850173
          0,           0,          44,      -3.616878347,      -3.194830961,       -3.72032672,      -3.013044335
          0,           0,          45,      -3.614520773,      -3.194602129,       -3.71129836,       -3.01271421
          0,           0,          46,      -3.598029372,      -3.185643388,      -3.619993005,      -3.001361139
          0,           0,          47,      -3.605446774,      -3.191667632,      -3.687400604,      -3.007692359
          0,           0,          48,      -3.604692826,      -3.192040025,       -3.58692334,      -3.001924871
          0,           0,          49,      -3.592072661,      -3.195174278,      -3.548459832,      -2.990592524
          0,           0,          50,      -3.579670016,       -3.18835051,      -3.578449327,      -2.981074956
          0,           0,          51,      -3.591680868,      -3.189109938,      -3.642152347,      -2.990816996
          0,           0,          52,      -3.600145469,      -3.187246018,      -3.688198619,      -2.994775753
          0,           0,          53,      -3.604499747,      -3.190014303,      -3.775595051,      -3.000899631
          0,           0,          54,      -3.594244165,       -3.18502875,      -3.704813064,      -2.998079472
          0,           0,          55,      -3.592226513,      -3.185003448,       -3.72237644,      -2.991803576
          0,           0,          56,      -3.590979805,      -3.184249273,      -3.593920545,      -2.987882923
          0,           0,          57,       -3.57540098,      -3.183867269,      -3.565169924,       -2.97165614
          0,           0,          58,      -3.562589018,      -3.177257956,      -3.582922743,      -2.962399113
          0,           0,          59,      -3.569041959,      -3.175930069,       -3.64172266,      -2.961176754
          0,           0,          60,      -3.581051024,      -3.175307425,       -3.72548466,      -2.972111791
