"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.9192,0.24113,7.6828,1.1104,1,0,-8.1,0,0
6.9174,0.24191,7.6802,1.1103,1,0.0731,-8.0269,0,0
6.9156,0.24269,7.6776,1.1102,1,0.1462,-7.9538,0,0
6.9137,0.24347,7.6749,1.1101,1,0.2193,-7.8807,0,0
6.9119,0.24425,7.6723,1.11,1,0.2924,-7.8076,0,0
6.9101,0.24503,7.6696,1.1099,1,0.3655,-7.7345,0,0
6.9083,0.2458,7.667,1.1098,1,0.4386,-7.6614,0,0
6.9062,0.2467,7.6639,1.1097,1,0.5117,-7.5883,0,0
6.9028,0.24816,7.659,1.1096,1,0.5848,-7.5152,0,0
6.8993,0.24962,7.654,1.1094,1,0.6579,-7.4421,0,0
6.8959,0.25109,7.6491,1.1092,1,0.731,-7.369,0,0
6.8924,0.25255,7.6441,1.1091,1,0.8041,-7.2959,0,0
6.889,0.25401,7.6392,1.1089,1,0.8772,-7.2228,0,0
6.8855,0.25547,7.6342,1.1087,1,0.9503,-7.1497,0,0
6.8821,0.25721,7.6292,1.1085,1,1.0234,-7.0766,0,0
6.8788,0.25958,7.624,1.1083,1,1.0965,-7.0035,0,0
6.8756,0.26194,7.6188,1.1081,1,1.1696,-6.9304,0,0
6.8723,0.26431,7.6136,1.1079,1,1.2427,-6.8573,0,0
6.8656,0.26747,7.6036,1.1075,1,1.3158,-6.7842,0,0
6.8583,0.27077,7.5927,1.1071,1,1.3889,-6.7111,0,0
6.8511,0.27407,7.5819,1.1067,1,1.462,-6.638,0,0
6.8432,0.27765,7.5702,1.1062,1,1.5351,-6.5649,0,0
6.8346,0.28166,7.5573,1.1057,1,1.6082,-6.4918,0,0
6.826,0.28567,7.5444,1.1052,1,1.6813,-6.4187,0,0
6.8173,0.28968,7.5315,1.1048,1,1.7544,-6.3456,0,0
6.8094,0.29434,7.5187,1.1042,1,1.8275,-6.2725,0,0
6.8015,0.29906,7.506,1.1036,1,1.9006,-6.1994,0,0
6.7937,0.30378,7.4932,1.103,1,1.9737,-6.1263,0,0
6.7834,0.30861,7.4773,1.1023,1,2.0468,-6.0532,0,0
6.7701,0.31356,7.4571,1.1015,1,2.1199,-5.9801,0,0
6.7587,0.31867,7.4396,1.1008,1,2.193,-5.907,0,0
6.7481,0.32387,7.4234,1.1001,1,2.2661,-5.8339,0,0
6.7343,0.33,7.4022,1.0992,1,2.3392,-5.7608,0,0
6.7201,0.33624,7.3804,1.0983,1,2.4123,-5.6877,0,0
6.7052,0.34263,7.3577,1.0973,1,2.4854,-5.6146,0,0
6.6902,0.34913,7.3347,1.0963,1,2.5585,-5.5415,0,0
6.6751,0.35578,7.3114,1.0953,1,2.6316,-5.4684,0,0
6.6591,0.36265,7.2869,1.0943,1,2.7047,-5.3953,0,0
6.6427,0.36963,7.2617,1.0932,1,2.7778,-5.3222,0,0
6.6249,0.37686,7.2347,1.092,1,2.8509,-5.2491,0,0
6.607,0.38415,7.2074,1.0909,1,2.924,-5.176,0,0
6.5887,0.39168,7.1795,1.0897,1,2.9971,-5.1029,0,0
6.5692,0.39963,7.1497,1.0884,1,3.0702,-5.0298,0,0
6.546,0.4085,7.1145,1.0869,1,3.1433,-4.9567,0,0
6.5218,0.41737,7.0782,1.0853,1,3.2164,-4.8836,0,0
