"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
37.716,0.26242,7.7747e+05,499.45,1,0,-8.1,0,0
37.707,0.26311,7.7732e+05,499.44,1,0.0731,-8.0269,0,0
37.698,0.2638,7.7716e+05,499.44,1,0.1462,-7.9538,0,0
37.689,0.26449,7.77e+05,499.44,1,0.2193,-7.8807,0,0
37.68,0.26518,7.7685e+05,499.43,1,0.2924,-7.8076,0,0
37.671,0.26587,7.7669e+05,499.43,1,0.3655,-7.7345,0,0
37.662,0.26656,7.7654e+05,499.42,1,0.4386,-7.6614,0,0
37.651,0.26736,7.7635e+05,499.42,1,0.5117,-7.5883,0,0
37.633,0.26867,7.7604e+05,499.41,1,0.5848,-7.5152,0,0
37.615,0.26998,7.7573e+05,499.4,1,0.6579,-7.4421,0,0
37.597,0.27129,7.7542e+05,499.4,1,0.731,-7.369,0,0
37.574,0.27332,7.7503e+05,499.39,1,0.8041,-7.2959,0,0
37.55,0.27559,7.7461e+05,499.38,1,0.8772,-7.2228,0,0
37.525,0.27786,7.7419e+05,499.37,1,0.9503,-7.1497,0,0
37.497,0.28036,7.7371e+05,499.35,1,1.0234,-7.0766,0,0
37.46,0.28337,7.7307e+05,499.34,1,1.0965,-7.0035,0,0
37.423,0.28639,7.7243e+05,499.32,1,1.1696,-6.9304,0,0
37.385,0.2894,7.7178e+05,499.31,1,1.2427,-6.8573,0,0
37.343,0.2929,7.7106e+05,499.29,1,1.3158,-6.7842,0,0
37.3,0.29649,7.7031e+05,499.27,1,1.3889,-6.7111,0,0
37.257,0.30007,7.6957e+05,499.25,1,1.462,-6.638,0,0
37.21,0.30391,7.6876e+05,499.23,1,1.5351,-6.5649,0,0
37.158,0.30813,7.6786e+05,499.21,1,1.6082,-6.4918,0,0
37.105,0.31235,7.6696e+05,499.19,1,1.6813,-6.4187,0,0
37.053,0.31656,7.6605e+05,499.17,1,1.7544,-6.3456,0,0
36.991,0.32138,7.6498e+05,499.14,1,1.8275,-6.2725,0,0
36.928,0.32625,7.6389e+05,499.11,1,1.9006,-6.1994,0,0
36.865,0.33112,7.628e+05,499.08,1,1.9737,-6.1263,0,0
36.798,0.33627,7.6164e+05,499.06,1,2.0468,-6.0532,0,0
36.724,0.34176,7.6037e+05,499.02,1,2.1199,-5.9801,0,0
36.651,0.34725,7.591e+05,498.99,1,2.193,-5.907,0,0
36.578,0.35275,7.5784e+05,498.96,1,2.2661,-5.8339,0,0
36.494,0.35853,7.5637e+05,498.93,1,2.3392,-5.7608,0,0
36.409,0.36434,7.5489e+05,498.89,1,2.4123,-5.6877,0,0
36.324,0.37015,7.5341e+05,498.85,1,2.4854,-5.6146,0,0
36.246,0.37647,7.5206e+05,498.82,1,2.5585,-5.5415,0,0
36.177,0.38348,7.5087e+05,498.79,1,2.6316,-5.4684,0,0
36.065,0.39166,7.489e+05,498.74,1,2.7047,-5.3953,0,0
35.93,0.40042,7.4654e+05,498.68,1,2.7778,-5.3222,0,0
35.793,0.4083,7.4415e+05,498.62,1,2.8509,-5.2491,0,0
35.658,0.41617,7.418e+05,498.56,1,2.924,-5.176,0,0
35.537,0.42449,7.3967e+05,498.51,1,2.9971,-5.1029,0,0
35.405,0.43311,7.3736e+05,498.45,1,3.0702,-5.0298,0,0
35.255,0.44224,7.3472e+05,498.38,1,3.1433,-4.9567,0,0
35.102,0.45152,7.3202e+05,498.31,1,3.2164,-4.8836,0,0
34.946,0.46091,7.2927e+05,498.24,1,3.2895,-4.8105,0,0
34.782,0.47055,7.2637e+05,498.17,1,3.3626,-4.7374,0,0
34.616,0.48026,7.2344e+05,498.09,1,3.4357,-4.6643,0,0
34.438,0.49032,7.2029e+05,498.01,1,3.5088,-4.5912,0,0
34.258,0.50047,7.1709e+05,497.93,1,3.5819,-4.5181,0,0
34.069,0.51085,7.1374e+05,497.84,1,3.655,-4.445,0,0
33.876,0.52134,7.1031e+05,497.76,1,3.7281,-4.3719,0,0
33.679,0.53195,7.0678e+05,497.67,1,3.8012,-4.2988,0,0
33.475,0.54259,7.0313e+05,497.57,1,3.8743,-4.2257,0,0
33.268,0.55324,6.9944e+05,497.48,1,3.9474,-4.1526,0,0
33.071,0.56412,6.9589e+05,497.38,1,4.0205,-4.0795,0,0
32.836,0.57586,6.9166e+05,497.27,1,4.0936,-4.0064,0,0
32.587,0.58829,6.8718e+05,497.15,1,4.1667,-3.9333,0,0
32.333,0.6007,6.8258e+05,497.03,1,4.2398,-3.8602,0,0
32.083,0.61256,6.7805e+05,496.91,1,4.3129,-3.7871,0,0
31.824,0.62542,6.7334e+05,496.79,1,4.386,-3.714,0,0
31.546,0.63818,6.6827e+05,496.65,1,4.4591,-3.6409,0,0
31.287,0.65012,6.6354e+05,496.52,1,4.5322,-3.5678,0,0
31.016,0.66267,6.5858e+05,496.39,1,4.6053,-3.4947,0,0
30.738,0.67523,6.5347e+05,496.25,1,4.6784,-3.4216,0,0
