"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.13638,2.4047,0.25548,1.5303,1,0,8,0,0
0.13614,2.4049,0.25501,1.5302,1,0.016,8,0.016,0
0.13589,2.405,0.25453,1.5302,1,0.032,8,0.032,0
0.13564,2.4051,0.25405,1.5301,1,0.048,8,0.048,0
0.13539,2.4052,0.25358,1.53,1,0.064,8,0.064,0
0.13514,2.4053,0.2531,1.5299,1,0.08,8,0.08,0
0.13489,2.4054,0.25263,1.5298,1,0.096,8,0.096,0
0.13465,2.4055,0.25215,1.5297,1,0.112,8,0.112,0
0.1344,2.4056,0.25168,1.5296,1,0.128,8,0.128,0
0.13415,2.4057,0.2512,1.5295,1,0.144,8,0.144,0
0.1339,2.4058,0.25073,1.5294,1,0.16,8,0.16,0
0.13365,2.406,0.25025,1.5293,1,0.176,8,0.176,0
0.1334,2.4061,0.24977,1.5292,1,0.192,8,0.192,0
0.13313,2.4062,0.24924,1.5291,1,0.208,8,0.208,0
0.13299,2.4062,0.24897,1.529,1,0.224,8,0.224,0
0.13298,2.4062,0.24895,1.529,1,0.24,8,0.24,0
0.13299,2.4062,0.24896,1.529,1,0.256,8,0.256,0
0.133,2.4063,0.24897,1.529,1,0.272,8,0.272,0
0.133,2.4064,0.24898,1.529,1,0.288,8,0.288,0
0.133,2.4065,0.24898,1.5289,1,0.304,8,0.304,0
0.13301,2.4065,0.24899,1.5289,1,0.32,8,0.32,0
0.13301,2.4066,0.24899,1.5289,1,0.336,8,0.336,0
0.13301,2.4067,0.249,1.5289,1,0.352,8,0.352,0
0.13302,2.4068,0.249,1.5289,1,0.368,8,0.368,0
0.13302,2.4069,0.249,1.5288,1,0.384,8,0.384,0
0.13303,2.407,0.24901,1.5288,1,0.4,8,0.4,0
0.13303,2.407,0.24901,1.5288,1,0.416,8,0.416,0
0.13305,2.4072,0.24904,1.5288,1,0.432,8,0.432,0
0.13307,2.4073,0.24908,1.5288,1,0.448,8,0.448,0
0.13309,2.4074,0.24912,1.5288,1,0.464,8,0.464,0
0.13312,2.4076,0.24917,1.5288,1,0.48,8,0.48,0
0.13314,2.4077,0.24921,1.5288,1,0.496,8,0.496,0
0.13317,2.4079,0.24925,1.5288,1,0.512,8,0.512,0
0.13319,2.408,0.2493,1.5287,1,0.528,8,0.528,0
0.1332,2.4082,0.24932,1.5287,1,0.544,8,0.544,0
0.13318,2.4085,0.24927,1.5287,1,0.56,8,0.56,0
0.13316,2.4087,0.24923,1.5287,1,0.576,8,0.576,0
0.13314,2.4089,0.2492,1.5287,1,0.592,8,0.592,0
0.13312,2.4092,0.24916,1.5287,1,0.608,8,0.608,0
0.13311,2.4094,0.24913,1.5287,1,0.624,8,0.624,0
0.13309,2.4097,0.2491,1.5286,1,0.64,8,0.64,0
0.13308,2.4099,0.24907,1.5286,1,0.656,8,0.656,0
0.13306,2.4101,0.24903,1.5286,1,0.672,8,0.672,0
0.13301,2.4104,0.24895,1.5286,1,0.688,8,0.688,0
0.13297,2.4107,0.24886,1.5286,1,0.704,8,0.704,0
0.13291,2.411,0.24874,1.5285,1,0.72,8,0.72,0
0.13282,2.4114,0.24857,1.5285,1,0.736,8,0.736,0
0.13273,2.4118,0.2484,1.5285,1,0.752,8,0.752,0
0.13264,2.4121,0.24823,1.5285,1,0.768,8,0.768,0
0.13255,2.4125,0.24807,1.5284,1,0.784,8,0.784,0
0.13246,2.4129,0.2479,1.5284,1,0.8,8,0.8,0
0.13238,2.4132,0.24773,1.5284,1,0.816,8,0.816,0
0.1323,2.4136,0.24758,1.5283,1,0.832,8,0.832,0
0.13222,2.4139,0.24742,1.5283,1,0.848,8,0.848,0
0.13214,2.4143,0.24727,1.5283,1,0.864,8,0.864,0
0.13205,2.4147,0.24711,1.5282,1,0.88,8,0.88,0
0.13192,2.4151,0.24687,1.5282,1,0.896,8,0.896,0
0.1318,2.4155,0.24662,1.5282,1,0.912,8,0.912,0
0.13167,2.416,0.24638,1.5281,1,0.928,8,0.928,0
0.13154,2.4164,0.24613,1.5281,1,0.944,8,0.944,0
0.13142,2.4168,0.24591,1.528,1,0.96,8,0.96,0
0.1313,2.4172,0.24569,1.528,1,0.976,8,0.976,0
0.13119,2.4177,0.24547,1.528,1,0.992,8,0.992,0
0.13106,2.4181,0.24523,1.5279,1,1.008,8,1.008,0
0.13093,2.4185,0.24497,1.5279,1,1.024,8,1.024,0
0.13079,2.419,0.24471,1.5278,1,1.04,8,1.04,0
0.13066,2.4194,0.24446,1.5278,1,1.056,8,1.056,0
0.13053,2.4199,0.24422,1.5278,1,1.072,8,1.072,0
0.1304,2.4203,0.24397,1.5277,1,1.088,8,1.088,0
0.13027,2.4207,0.24372,1.5277,1,1.104,8,1.104,0
0.13013,2.4212,0.24345,1.5276,1,1.12,8,1.12,0
0.12998,2.4217,0.24318,1.5276,1,1.136,8,1.136,0
0.12984,2.4221,0.2429,1.5275,1,1.152,8,1.152,0
0.12969,2.4226,0.24262,1.5275,1,1.168,8,1.168,0
