"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
177.73,0.22717,8.5983e+06,197.38,1,0,-8.1,0,0
177.67,0.22799,8.594e+06,197.35,1,0.0731,-8.0269,0,0
177.62,0.22881,8.5897e+06,197.32,1,0.1462,-7.9538,0,0
177.57,0.22962,8.5853e+06,197.29,1,0.2193,-7.8807,0,0
177.52,0.23044,8.581e+06,197.27,1,0.2924,-7.8076,0,0
177.47,0.23126,8.5767e+06,197.24,1,0.3655,-7.7345,0,0
177.42,0.23208,8.5723e+06,197.21,1,0.4386,-7.6614,0,0
177.37,0.23305,8.5675e+06,197.18,1,0.5117,-7.5883,0,0
177.28,0.23477,8.5599e+06,197.13,1,0.5848,-7.5152,0,0
177.19,0.23649,8.5523e+06,197.08,1,0.6579,-7.4421,0,0
177.1,0.23821,8.5447e+06,197.03,1,0.731,-7.369,0,0
177.01,0.23993,8.5371e+06,196.98,1,0.8041,-7.2959,0,0
176.92,0.24165,8.5295e+06,196.93,1,0.8772,-7.2228,0,0
176.84,0.24337,8.5219e+06,196.87,1,0.9503,-7.1497,0,0
176.73,0.24544,8.5128e+06,196.81,1,1.0234,-7.0766,0,0
176.58,0.24828,8.5002e+06,196.73,1,1.0965,-7.0035,0,0
176.43,0.25113,8.4876e+06,196.65,1,1.1696,-6.9304,0,0
176.29,0.25397,8.4749e+06,196.56,1,1.2427,-6.8573,0,0
176.14,0.25682,8.4623e+06,196.48,1,1.3158,-6.7842,0,0
175.99,0.25966,8.4497e+06,196.4,1,1.3889,-6.7111,0,0
175.84,0.26251,8.4371e+06,196.31,1,1.462,-6.638,0,0
175.66,0.26585,8.4222e+06,196.21,1,1.5351,-6.5649,0,0
175.45,0.26994,8.4039e+06,196.09,1,1.6082,-6.4918,0,0
175.23,0.27404,8.3855e+06,195.97,1,1.6813,-6.4187,0,0
175.01,0.27813,8.3672e+06,195.84,1,1.7544,-6.3456,0,0
174.79,0.28222,8.3489e+06,195.72,1,1.8275,-6.2725,0,0
174.58,0.28631,8.3305e+06,195.6,1,1.9006,-6.1994,0,0
174.36,0.29041,8.3122e+06,195.47,1,1.9737,-6.1263,0,0
174.1,0.29509,8.2907e+06,195.33,1,2.0468,-6.0532,0,0
173.8,0.30055,8.2652e+06,195.16,1,2.1199,-5.9801,0,0
173.49,0.30602,8.2397e+06,194.98,1,2.193,-5.907,0,0
173.19,0.31148,8.2142e+06,194.81,1,2.2661,-5.8339,0,0
172.88,0.31694,8.1887e+06,194.64,1,2.3392,-5.7608,0,0
172.57,0.3224,8.1632e+06,194.46,1,2.4123,-5.6877,0,0
172.27,0.32786,8.1376e+06,194.29,1,2.4854,-5.6146,0,0
171.92,0.3339,8.1086e+06,194.09,1,2.5585,-5.5415,0,0
171.51,0.34072,8.0749e+06,193.86,1,2.6316,-5.4684,0,0
171.09,0.34754,8.0411e+06,193.62,1,2.7047,-5.3953,0,0
170.68,0.35436,8.0074e+06,193.39,1,2.7778,-5.3222,0,0
170.27,0.36118,7.9737e+06,193.15,1,2.8509,-5.2491,0,0
169.86,0.368,7.9399e+06,192.92,1,2.924,-5.176,0,0
169.45,0.37482,7.9062e+06,192.68,1,2.9971,-5.1029,0,0
169.01,0.38213,7.8697e+06,192.43,1,3.0702,-5.0298,0,0
168.5,0.39024,7.8286e+06,192.13,1,3.1433,-4.9567,0,0
167.99,0.39835,7.7876e+06,191.84,1,3.2164,-4.8836,0,0
167.49,0.40646,7.7465e+06,191.54,1,3.2895,-4.8105,0,0
166.98,0.41457,7.7055e+06,191.25,1,3.3626,-4.7374,0,0
166.47,0.42268,7.6644e+06,190.95,1,3.4357,-4.6643,0,0
165.97,0.43079,7.6234e+06,190.66,1,3.5088,-4.5912,0,0
165.41,0.43938,7.578e+06,190.33,1,3.5819,-4.5181,0,0
164.69,0.44925,7.5211e+06,189.91,1,3.655,-4.445,0,0
163.98,0.45913,7.4642e+06,189.49,1,3.7281,-4.3719,0,0
163.26,0.469,7.4073e+06,189.07,1,3.8012,-4.2988,0,0
162.5,0.47995,7.3474e+06,188.62,1,3.8743,-4.2257,0,0
161.72,0.49138,7.2862e+06,188.16,1,3.9474,-4.1526,0,0
160.94,0.50281,7.2251e+06,187.7,1,4.0205,-4.0795,0,0
160.13,0.51437,7.1624e+06,187.22,1,4.0936,-4.0064,0,0
159.17,0.52689,7.0882e+06,186.65,1,4.1667,-3.9333,0,0
158.2,0.53942,7.014e+06,186.07,1,4.2398,-3.8602,0,0
157.24,0.55194,6.9398e+06,185.5,1,4.3129,-3.7871,0,0
156.28,0.56444,6.8672e+06,184.93,1,4.386,-3.714,0,0
155.33,0.57691,6.7959e+06,184.36,1,4.4591,-3.6409,0,0
154.38,0.58937,6.7246e+06,183.79,1,4.5322,-3.5678,0,0
153.44,0.60184,6.6533e+06,183.22,1,4.6053,-3.4947,0,0
152.43,0.61452,6.5795e+06,182.61,1,4.6784,-3.4216,0,0
151.43,0.62721,6.5054e+06,182,1,4.7515,-3.3485,0,0
150.42,0.63991,6.4314e+06,181.39,1,4.8246,-3.2754,0,0
149.4,0.65271,6.3572e+06,180.77,1,4.8977,-3.2023,0,0
148.37,0.66575,6.2826e+06,180.13,1,4.9708,-3.1292,0,0
147.33,0.6788,6.208e+06,179.5,1,5.0439,-3.0561,0,0
146.3,0.69185,6.1334e+06,178.86,1,5.117,-2.983,0,0
145.21,0.70551,6.0559e+06,178.18,1,5.1901,-2.9099,0,0
144.09,0.71945,5.977e+06,177.49,1,5.2632,-2.8368,0,0
142.86,0.73433,5.8914e+06,176.73,1,5.3363,-2.7637,0,0
141.61,0.74939,5.8046e+06,175.95,1,5.4094,-2.6906,0,0
140.29,0.76501,5.7143e+06,175.13,1,5.4825,-2.6175,0,0
138.97,0.78067,5.6242e+06,174.3,1,5.5556,-2.5444,0,0
137.65,0.79644,5.5353e+06,173.47,1,5.6287,-2.4713,0,0
136.33,0.81229,5.4466e+06,172.64,1,5.7018,-2.3982,0,0
134.99,0.82826,5.3584e+06,171.79,1,5.7749,-2.3251,0,0
133.66,0.84402,5.2711e+06,170.95,1,5.848,-2.252,0,0
132.33,0.85958,5.1847e+06,170.1,1,5.9211,-2.1789,0,0
131.02,0.87498,5.1005e+06,169.27,1,5.9942,-2.1058,0,0
129.72,0.8903,5.0172e+06,168.44,1,6.0673,-2.0327,0,0
128.39,0.90611,4.9333e+06,167.58,1,6.1404,-1.9596,0,0
127.06,0.922,4.8492e+06,166.72,1,6.2135,-1.8865,0,0
125.67,0.93832,4.7635e+06,165.82,1,6.2866,-1.8134,0,0
124.28,0.95471,4.6778e+06,164.91,1,6.3597,-1.7403,0,0
122.88,0.9714,4.5925e+06,163.99,1,6.4328,-1.6672,0,0
121.47,0.98815,4.5073e+06,163.07,1,6.5059,-1.5941,0,0
120.04,1.005,4.4221e+06,162.12,1,6.579,-1.521,0,0
118.61,1.0221,4.3379e+06,161.18,1,6.6521,-1.4479,0,0
117.2,1.0392,4.2548e+06,160.23,1,6.7252,-1.3748,0,0
115.76,1.0563,4.172e+06,159.27,1,6.7983,-1.3017,0,0
114.32,1.0735,4.0892e+06,158.31,1,6.8714,-1.2286,0,0
112.9,1.0907,4.009e+06,157.35,1,6.9445,-1.1555,0,0
111.49,1.1079,3.9295e+06,156.39,1,7.0176,-1.0824,0,0
110.04,1.1257,3.849e+06,155.4,1,7.0907,-1.0093,0,0
108.58,1.1436,3.7684e+06,154.39,1,7.1638,-0.9362,0,0
107.13,1.1617,3.6896e+06,153.39,1,7.2369,-0.8631,0,0
105.65,1.18,3.6103e+06,152.37,1,7.31,-0.79,0,0
104.12,1.1992,3.5291e+06,151.3,1,7.3831,-0.7169,0,0
102.6,1.2183,3.4485e+06,150.23,1,7.4562,-0.6438,0,0
101.07,1.2375,3.3694e+06,149.15,1,7.5293,-0.5707,0,0
99.54,1.257,3.2906e+06,148.07,1,7.6024,-0.4976,0,0
97.993,1.2769,3.2122e+06,146.96,1,7.6755,-0.4245,0,0
96.453,1.2969,3.1349e+06,145.86,1,7.7486,-0.3514,0,0
94.916,1.317,3.0586e+06,144.75,1,7.8217,-0.2783,0,0
93.372,1.3372,2.9829e+06,143.62,1,7.8948,-0.2052,0,0
91.824,1.3576,2.9076e+06,142.48,1,7.9679,-0.1321,0,0
90.313,1.3778,2.8356e+06,141.37,1,8.041,-0.059,0,0
88.812,1.398,2.7645e+06,140.26,1,8.1141,0.0141,0,0
87.221,1.4199,2.6906e+06,139.07,1,8.1872,0.0872,0,0
85.62,1.4419,2.6164e+06,137.86,1,8.2603,0.1603,0,0
83.953,1.4656,2.541e+06,136.59,1,8.3334,0.2334,0,0
82.279,1.4893,2.4654e+06,135.31,1,8.4065,0.3065,0,0
80.55,1.5134,2.3891e+06,133.97,1,8.4796,0.3796,0,0
78.852,1.5375,2.3146e+06,132.64,1,8.5527,0.4527,0,0
77.255,1.5615,2.246e+06,131.38,1,8.6258,0.5258,0,0
75.623,1.586,2.1764e+06,130.08,1,8.6989,0.5989,0,0
73.919,1.6115,2.105e+06,128.71,1,8.772,0.672,0,0
72.228,1.6374,2.035e+06,127.34,1,8.8451,0.7451,0,0
70.553,1.6638,1.9667e+06,125.97,1,8.9182,0.8182,0,0
68.85,1.6904,1.8984e+06,124.56,1,8.9913,0.8913,0,0
67.123,1.717,1.83e+06,123.12,1,9.0644,0.9644,0,0
65.561,1.7427,1.7689e+06,121.79,1,9.1375,1.0375,0,0
