"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
177.72,0.22645,8.598e+06,197.38,1,0,-8.1,0,0
177.69,0.22717,8.5952e+06,197.36,1,0.0731,-8.0269,0,0
177.66,0.22788,8.5923e+06,197.34,1,0.1462,-7.9538,0,0
177.62,0.2286,8.5895e+06,197.32,1,0.2193,-7.8807,0,0
177.59,0.22931,8.5866e+06,197.3,1,0.2924,-7.8076,0,0
177.56,0.23002,8.5838e+06,197.29,1,0.3655,-7.7345,0,0
177.52,0.23074,8.5809e+06,197.27,1,0.4386,-7.6614,0,0
177.48,0.23162,8.5776e+06,197.24,1,0.5117,-7.5883,0,0
177.42,0.23329,8.5717e+06,197.21,1,0.5848,-7.5152,0,0
177.35,0.23497,8.5658e+06,197.17,1,0.6579,-7.4421,0,0
177.28,0.23664,8.5599e+06,197.13,1,0.731,-7.369,0,0
177.21,0.23832,8.5541e+06,197.09,1,0.8041,-7.2959,0,0
177.14,0.23999,8.5482e+06,197.05,1,0.8772,-7.2228,0,0
177.07,0.24167,8.5423e+06,197.01,1,0.9503,-7.1497,0,0
176.98,0.24358,8.5342e+06,196.96,1,1.0234,-7.0766,0,0
176.83,0.24606,8.5212e+06,196.87,1,1.0965,-7.0035,0,0
176.68,0.24853,8.5082e+06,196.78,1,1.1696,-6.9304,0,0
176.52,0.251,8.4951e+06,196.7,1,1.2427,-6.8573,0,0
176.39,0.25386,8.4833e+06,196.62,1,1.3158,-6.7842,0,0
176.25,0.25679,8.4716e+06,196.54,1,1.3889,-6.7111,0,0
176.11,0.25972,8.4599e+06,196.46,1,1.462,-6.638,0,0
175.96,0.26289,8.447e+06,196.37,1,1.5351,-6.5649,0,0
175.79,0.26642,8.4322e+06,196.28,1,1.6082,-6.4918,0,0
175.61,0.26995,8.4174e+06,196.18,1,1.6813,-6.4187,0,0
175.44,0.27347,8.4026e+06,196.08,1,1.7544,-6.3456,0,0
175.24,0.27749,8.3859e+06,195.96,1,1.8275,-6.2725,0,0
175.05,0.28155,8.369e+06,195.85,1,1.9006,-6.1994,0,0
174.85,0.28561,8.3522e+06,195.74,1,1.9737,-6.1263,0,0
174.63,0.2901,8.3337e+06,195.61,1,2.0468,-6.0532,0,0
174.38,0.29513,8.3129e+06,195.47,1,2.1199,-5.9801,0,0
174.14,0.30017,8.2922e+06,195.33,1,2.193,-5.907,0,0
173.89,0.30521,8.2715e+06,195.19,1,2.2661,-5.8339,0,0
173.58,0.31095,8.2454e+06,195.01,1,2.3392,-5.7608,0,0
173.27,0.31674,8.2189e+06,194.83,1,2.4123,-5.6877,0,0
172.95,0.32253,8.1924e+06,194.65,1,2.4854,-5.6146,0,0
172.63,0.32852,8.1654e+06,194.46,1,2.5585,-5.5415,0,0
172.3,0.33476,8.1376e+06,194.27,1,2.6316,-5.4684,0,0
171.97,0.34101,8.1099e+06,194.08,1,2.7047,-5.3953,0,0
171.64,0.34725,8.0822e+06,193.88,1,2.7778,-5.3222,0,0
171.23,0.35454,8.0486e+06,193.65,1,2.8509,-5.2491,0,0
170.81,0.36206,8.013e+06,193.4,1,2.924,-5.176,0,0
170.28,0.37035,7.969e+06,193.09,1,2.9971,-5.1029,0,0
169.78,0.37849,7.9277e+06,192.8,1,3.0702,-5.0298,0,0
169.33,0.38641,7.8907e+06,192.54,1,3.1433,-4.9567,0,0
168.81,0.39481,7.8485e+06,192.24,1,3.2164,-4.8836,0,0
