"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
11.673,3.2641,1.7107e+05,58.23,1,0,10,0,0
11.64,3.2681,1.7041e+05,58.157,1,0.016,10,0.016,0
11.604,3.271,1.6966e+05,58.074,1,0.032,10,0.032,0
11.579,3.2714,1.6917e+05,58.018,1,0.048,10,0.048,0
11.581,3.2689,1.6919e+05,58.02,1,0.064,10,0.064,0
11.625,3.2641,1.7007e+05,58.114,1,0.08,10,0.08,0
11.693,3.2586,1.714e+05,58.256,1,0.096,10,0.096,0
11.764,3.2533,1.728e+05,58.403,1,0.112,10,0.112,0
11.824,3.2489,1.7398e+05,58.525,1,0.128,10,0.128,0
11.868,3.2458,1.7484e+05,58.614,1,0.144,10,0.144,0
11.9,3.2432,1.7547e+05,58.679,1,0.16,10,0.16,0
11.92,3.2414,1.7586e+05,58.718,1,0.176,10,0.176,0
11.921,3.241,1.7588e+05,58.719,1,0.192,10,0.192,0
11.889,3.2433,1.7522e+05,58.648,1,0.208,10,0.208,0
11.82,3.249,1.7383e+05,58.499,1,0.224,10,0.224,0
11.704,3.259,1.7152e+05,58.252,1,0.24,10,0.24,0
11.555,3.2723,1.6859e+05,57.939,1,0.256,10,0.256,0
11.402,3.2868,1.6559e+05,57.616,1,0.272,10,0.272,0
11.262,3.3006,1.6288e+05,57.322,1,0.288,10,0.288,0
11.15,3.3125,1.6068e+05,57.077,1,0.304,10,0.304,0
11.066,3.3224,1.5901e+05,56.883,1,0.32,10,0.32,0
11.011,3.3296,1.5786e+05,56.74,1,0.336,10,0.336,0
10.978,3.335,1.5711e+05,56.636,1,0.352,10,0.352,0
10.961,3.3388,1.5667e+05,56.564,1,0.368,10,0.368,0
10.953,3.3417,1.5641e+05,56.515,1,0.384,10,0.384,0
10.95,3.3442,1.5625e+05,56.48,1,0.4,10,0.4,0
10.952,3.3465,1.562e+05,56.458,1,0.416,10,0.416,0
10.96,3.3486,1.5627e+05,56.451,1,0.432,10,0.432,0
10.976,3.35,1.5651e+05,56.464,1,0.448,10,0.448,0
11.004,3.35,1.5698e+05,56.508,1,0.464,10,0.464,0
11.043,3.3485,1.577e+05,56.58,1,0.48,10,0.48,0
11.098,3.345,1.5872e+05,56.688,1,0.496,10,0.496,0
11.162,3.3403,1.5992e+05,56.815,1,0.512,10,0.512,0
11.236,3.334,1.613e+05,56.961,1,0.528,10,0.528,0
11.314,3.3272,1.6276e+05,57.113,1,0.544,10,0.544,0
11.404,3.3187,1.6447e+05,57.292,1,0.56,10,0.56,0
11.489,3.3109,1.6607e+05,57.458,1,0.576,10,0.576,0
11.573,3.3029,1.6768e+05,57.627,1,0.592,10,0.592,0
11.664,3.2935,1.6944e+05,57.812,1,0.608,10,0.608,0
11.756,3.2825,1.7125e+05,58.008,1,0.624,10,0.624,0
11.831,3.2725,1.7274e+05,58.169,1,0.64,10,0.64,0
11.889,3.2644,1.7392e+05,58.297,1,0.656,10,0.656,0
11.935,3.258,1.7483e+05,58.396,1,0.672,10,0.672,0
11.952,3.2551,1.7519e+05,58.435,1,0.688,10,0.688,0
11.959,3.2538,1.7533e+05,58.451,1,0.704,10,0.704,0
11.956,3.2538,1.7527e+05,58.444,1,0.72,10,0.72,0
11.948,3.2548,1.7509e+05,58.423,1,0.736,10,0.736,0
11.942,3.2557,1.7496e+05,58.408,1,0.752,10,0.752,0
11.939,3.2566,1.7489e+05,58.399,1,0.768,10,0.768,0
11.935,3.2579,1.748e+05,58.387,1,0.784,10,0.784,0
11.931,3.2595,1.7468e+05,58.369,1,0.8,10,0.8,0
11.925,3.2614,1.7454e+05,58.348,1,0.816,10,0.816,0
11.921,3.2634,1.7442e+05,58.33,1,0.832,10,0.832,0
11.919,3.2657,1.7435e+05,58.316,1,0.848,10,0.848,0
11.919,3.2683,1.7431e+05,58.306,1,0.864,10,0.864,0
11.917,3.2717,1.7423e+05,58.292,1,0.88,10,0.88,0
11.917,3.2748,1.7421e+05,58.286,1,0.896,10,0.896,0
11.921,3.2776,1.7425e+05,58.286,1,0.912,10,0.912,0
11.929,3.2798,1.744e+05,58.298,1,0.928,10,0.928,0
11.941,3.2815,1.7461e+05,58.319,1,0.944,10,0.944,0
11.955,3.2828,1.749e+05,58.348,1,0.96,10,0.96,0
11.975,3.2835,1.7528e+05,58.388,1,0.976,10,0.976,0
12.006,3.2832,1.7589e+05,58.452,1,0.992,10,0.992,0
12.046,3.282,1.7669e+05,58.535,1,1.008,10,1.008,0
12.097,3.2801,1.7769e+05,58.637,1,1.024,10,1.024,0
12.162,3.2769,1.7897e+05,58.767,1,1.04,10,1.04,0
12.234,3.273,1.8036e+05,58.907,1,1.056,10,1.056,0
12.311,3.2681,1.8188e+05,59.057,1,1.072,10,1.072,0
12.393,3.2624,1.8346e+05,59.213,1,1.088,10,1.088,0
12.471,3.2565,1.8499e+05,59.361,1,1.104,10,1.104,0
12.545,3.2507,1.8643e+05,59.5,1,1.12,10,1.12,0
12.613,3.2452,1.8776e+05,59.629,1,1.136,10,1.136,0
12.674,3.2401,1.8896e+05,59.744,1,1.152,10,1.152,0
12.726,3.2357,1.8997e+05,59.842,1,1.168,10,1.168,0
12.772,3.2317,1.9088e+05,59.929,1,1.184,10,1.184,0
12.815,3.2279,1.9173e+05,60.011,1,1.2,10,1.2,0
12.857,3.2242,1.9258e+05,60.092,1,1.216,10,1.216,0
12.905,3.2202,1.9354e+05,60.185,1,1.232,10,1.232,0
12.959,3.2158,1.9462e+05,60.29,1,1.248,10,1.248,0
13.028,3.2102,1.9602e+05,60.426,1,1.264,10,1.264,0
13.113,3.2035,1.9774e+05,60.593,1,1.28,10,1.28,0
13.207,3.1962,1.9965e+05,60.776,1,1.296,10,1.296,0
13.308,3.1885,2.0173e+05,60.976,1,1.312,10,1.312,0
13.409,3.1813,2.0379e+05,61.173,1,1.328,10,1.328,0
13.508,3.1743,2.0583e+05,61.367,1,1.344,10,1.344,0
13.595,3.1685,2.0763e+05,61.537,1,1.36,10,1.36,0
13.662,3.1644,2.0902e+05,61.667,1,1.376,10,1.376,0
13.724,3.1608,2.1029e+05,61.786,1,1.392,10,1.392,0
13.767,3.1585,2.1119e+05,61.87,1,1.408,10,1.408,0
