"Mach","p","x","Points:0","Points:1","Points:2"
0.23972,0.9605,-1.2462,-8.1,0,0
0.24022,0.96038,-1.2349,-8.0269,0,0
0.24072,0.96025,-1.2237,-7.9538,0,0
0.24123,0.96012,-1.2124,-7.8807,0,0
0.24196,0.95984,-1.2012,-7.8076,0,0
0.24287,0.95945,-1.1899,-7.7345,0,0
0.24378,0.95906,-1.1787,-7.6614,0,0
0.24476,0.95865,-1.1674,-7.5883,0,0
0.24612,0.95815,-1.1562,-7.5152,0,0
0.24748,0.95765,-1.1449,-7.4421,0,0
0.24885,0.95715,-1.1337,-7.369,0,0
0.25057,0.95651,-1.1224,-7.2959,0,0
0.25243,0.95582,-1.1112,-7.2228,0,0
0.25429,0.95513,-1.1,-7.1497,0,0
0.25635,0.95438,-1.0887,-7.0766,0,0
0.25889,0.9535,-1.0775,-7.0035,0,0
0.26143,0.95261,-1.0662,-6.9304,0,0
0.26397,0.95172,-1.055,-6.8573,0,0
0.26699,0.95067,-1.0437,-6.7842,0,0
0.2701,0.94958,-1.0325,-6.7111,0,0
0.27321,0.94849,-1.0212,-6.638,0,0
0.27662,0.94723,-1.01,-6.5649,0,0
0.28047,0.94572,-0.99874,-6.4918,0,0
0.28457,0.94404,-0.98749,-6.4187,0,0
0.28881,0.94227,-0.97625,-6.3456,0,0
0.29315,0.94075,-0.965,-6.2725,0,0
0.29757,0.93916,-0.95375,-6.1994,0,0
0.30236,0.93715,-0.94251,-6.1263,0,0
0.30723,0.9352,-0.93126,-6.0532,0,0
0.3122,0.93332,-0.92002,-5.9801,0,0
0.31736,0.93123,-0.90877,-5.907,0,0
0.32261,0.92905,-0.89752,-5.8339,0,0
0.32809,0.92697,-0.88628,-5.7608,0,0
0.3345,0.9242,-0.87503,-5.6877,0,0
0.3412,0.92131,-0.86378,-5.6146,0,0
0.34748,0.91855,-0.85254,-5.5415,0,0
0.35397,0.91585,-0.84129,-5.4684,0,0
0.36125,0.91261,-0.83005,-5.3953,0,0
0.36869,0.90905,-0.8188,-5.3222,0,0
0.37599,0.90594,-0.80755,-5.2491,0,0
0.38391,0.90204,-0.79631,-5.176,0,0
0.39183,0.89839,-0.78506,-5.1029,0,0
0.40015,0.89433,-0.77382,-5.0298,0,0
0.40861,0.89022,-0.76257,-4.9567,0,0
0.41718,0.88602,-0.75132,-4.8836,0,0
0.42614,0.88135,-0.74008,-4.8105,0,0
0.43516,0.87687,-0.72883,-4.7374,0,0
0.44477,0.87171,-0.71758,-4.6643,0,0
0.45434,0.86686,-0.70634,-4.5912,0,0
0.46438,0.86141,-0.69509,-4.5181,0,0
0.47445,0.85602,-0.68385,-4.445,0,0
0.4848,0.85035,-0.6726,-4.3719,0,0
0.49541,0.8444,-0.66135,-4.2988,0,0
0.50606,0.83844,-0.65011,-4.2257,0,0
0.51722,0.83188,-0.63886,-4.1526,0,0
0.52834,0.82571,-0.62762,-4.0795,0,0
0.54009,0.81882,-0.61637,-4.0064,0,0
0.55162,0.81215,-0.60512,-3.9333,0,0
0.56357,0.80494,-0.59388,-3.8602,0,0
0.5756,0.79772,-0.58263,-3.7871,0,0
0.58785,0.79029,-0.57138,-3.714,0,0
0.60039,0.78263,-0.56014,-3.6409,0,0
0.61296,0.77496,-0.54889,-3.5678,0,0
0.62607,0.76667,-0.53765,-3.4947,0,0
0.63944,0.7586,-0.5264,-3.4216,0,0
0.65317,0.74941,-0.51515,-3.3485,0,0
0.66554,0.74167,-0.50391,-3.2754,0,0
0.67813,0.73387,-0.49266,-3.2023,0,0
0.69193,0.72525,-0.48142,-3.1292,0,0
0.70648,0.71579,-0.47017,-3.0561,0,0
0.72041,0.70668,-0.45892,-2.983,0,0
0.73438,0.69789,-0.44768,-2.9099,0,0
0.74934,0.68795,-0.43643,-2.8368,0,0
0.76353,0.67861,-0.42518,-2.7637,0,0
0.77754,0.66945,-0.41394,-2.6906,0,0
0.79162,0.6605,-0.40269,-2.6175,0,0
0.80587,0.65139,-0.39145,-2.5444,0,0
0.82085,0.64162,-0.3802,-2.4713,0,0
0.83594,0.6319,-0.36895,-2.3982,0,0
0.85122,0.62226,-0.35771,-2.3251,0,0
0.86648,0.61221,-0.34646,-2.252,0,0
0.8817,0.60181,-0.33522,-2.1789,0,0
0.89644,0.59228,-0.32397,-2.1058,0,0
0.91097,0.58312,-0.31272,-2.0327,0,0
0.9255,0.57396,-0.30148,-1.9596,0,0
0.94004,0.56479,-0.29023,-1.8865,0,0
0.95511,0.55541,-0.27898,-1.8134,0,0
0.97019,0.54603,-0.26774,-1.7403,0,0
0.98526,0.53664,-0.25649,-1.6672,0,0
1.0005,0.52724,-0.24525,-1.5941,0,0
1.0161,0.5178,-0.234,-1.521,0,0
1.0317,0.50836,-0.22275,-1.4479,0,0
1.0473,0.49891,-0.21151,-1.3748,0,0
1.0633,0.48946,-0.20026,-1.3017,0,0
1.0794,0.47999,-0.18902,-1.2286,0,0
1.0955,0.47052,-0.17777,-1.1555,0,0
1.1117,0.46106,-0.16652,-1.0824,0,0
1.1286,0.45169,-0.15528,-1.0093,0,0
1.1456,0.44232,-0.14403,-0.9362,0,0
1.1626,0.43296,-0.13278,-0.8631,0,0
1.18,0.4235,-0.12154,-0.79,0,0
1.1989,0.41358,-0.11029,-0.7169,0,0
1.2187,0.40316,-0.099046,-0.6438,0,0
1.239,0.39215,-0.0878,-0.5707,0,0
1.2565,0.38286,-0.076554,-0.4976,0,0
1.273,0.37454,-0.065308,-0.4245,0,0
1.2909,0.36559,-0.054062,-0.3514,0,0
1.3095,0.35643,-0.042815,-0.2783,0,0
1.3293,0.34685,-0.031569,-0.2052,0,0
1.3499,0.33714,-0.020323,-0.1321,0,0
1.3714,0.32706,-0.009077,-0.059,0,0
1.3898,0.31882,0.0021692,0.0141,0,0
1.4112,0.30969,0.013415,0.0872,0,0
1.4318,0.29991,0.024661,0.1603,0,0
1.4512,0.29213,0.035908,0.2334,0,0
1.471,0.28421,0.047154,0.3065,0,0
1.4931,0.27538,0.0584,0.3796,0,0
1.5149,0.26671,0.069646,0.4527,0,0
1.5363,0.25858,0.080892,0.5258,0,0
1.5586,0.25026,0.092138,0.5989,0,0
1.5835,0.24143,0.10338,0.672,0,0
1.6079,0.23288,0.11463,0.7451,0,0
1.6296,0.22544,0.12588,0.8182,0,0
1.6512,0.21835,0.13712,0.8913,0,0
1.674,0.21112,0.14837,0.9644,0,0
1.6958,0.20425,0.15962,1.0375,0,0
1.7155,0.19818,0.17086,1.1106,0,0
1.7375,0.19184,0.18211,1.1837,0,0
1.7604,0.18495,0.19335,1.2568,0,0
1.7822,0.17896,0.2046,1.3299,0,0
1.8039,0.17324,0.21585,1.403,0,0
1.8269,0.16737,0.22709,1.4761,0,0
1.8501,0.16149,0.23834,1.5492,0,0
1.8722,0.15606,0.24958,1.6223,0,0
1.8943,0.15067,0.26083,1.6954,0,0
1.917,0.14557,0.27208,1.7685,0,0
1.9399,0.14048,0.28332,1.8416,0,0
1.9644,0.13545,0.29457,1.9147,0,0
1.9896,0.13032,0.30582,1.9878,0,0
2.018,0.12476,0.31706,2.0609,0,0
2.0436,0.11984,0.32831,2.134,0,0
2.0652,0.11584,0.33955,2.2071,0,0
2.0828,0.11266,0.3508,2.2802,0,0
2.0993,0.10993,0.36205,2.3533,0,0
2.1085,0.10815,0.37329,2.4264,0,0
2.1093,0.10767,0.38454,2.4995,0,0
2.109,0.10752,0.39578,2.5726,0,0
2.1042,0.10829,0.40703,2.6457,0,0
2.0912,0.11042,0.41828,2.7188,0,0
2.0637,0.1152,0.42952,2.7919,0,0
2.0105,0.12493,0.44077,2.865,0,0
1.9586,0.1354,0.45202,2.9381,0,0
1.9015,0.14755,0.46326,3.0112,0,0
1.847,0.16033,0.47451,3.0843,0,0
1.8111,0.16964,0.48575,3.1574,0,0
1.7802,0.1779,0.497,3.2305,0,0
1.7584,0.18396,0.50825,3.3036,0,0
1.7455,0.18782,0.51949,3.3767,0,0
1.738,0.19005,0.53074,3.4498,0,0
1.7341,0.19129,0.54198,3.5229,0,0
1.7331,0.19188,0.55323,3.596,0,0
1.7334,0.19189,0.56448,3.6691,0,0
1.7359,0.19118,0.57572,3.7422,0,0
1.7392,0.19028,0.58697,3.8153,0,0
1.7436,0.18905,0.59822,3.8884,0,0
1.7484,0.18772,0.60946,3.9615,0,0
1.755,0.18588,0.62071,4.0346,0,0
1.7621,0.18389,0.63195,4.1077,0,0
1.7711,0.18146,0.6432,4.1808,0,0
1.7805,0.17893,0.65445,4.2539,0,0
1.7928,0.17564,0.66569,4.327,0,0
1.8058,0.17219,0.67694,4.4001,0,0
1.8207,0.16829,0.68818,4.4732,0,0
1.836,0.16429,0.69943,4.5463,0,0
1.854,0.16004,0.71068,4.6194,0,0
1.8726,0.15573,0.72192,4.6925,0,0
1.8912,0.15143,0.73317,4.7656,0,0
1.9098,0.14712,0.74442,4.8387,0,0
1.9343,0.14172,0.75566,4.9118,0,0
1.9599,0.13611,0.76691,4.9849,0,0
1.9872,0.13051,0.77815,5.058,0,0
2.0147,0.12491,0.7894,5.1311,0,0
2.0471,0.119,0.80065,5.2042,0,0
2.0832,0.11233,0.81189,5.2773,0,0
2.1091,0.10784,0.82314,5.3504,0,0
2.1326,0.10385,0.83438,5.4235,0,0
2.1592,0.099798,0.84563,5.4966,0,0
2.1886,0.095208,0.85688,5.5697,0,0
2.2117,0.091847,0.86812,5.6428,0,0
2.2331,0.088825,0.87937,5.7159,0,0
2.2565,0.085721,0.89062,5.789,0,0
2.2804,0.082595,0.90186,5.8621,0,0
2.304,0.079643,0.91311,5.9352,0,0
2.3274,0.076746,0.92435,6.0083,0,0
2.353,0.073875,0.9356,6.0814,0,0
2.3793,0.071014,0.94685,6.1545,0,0
2.4034,0.068302,0.95809,6.2276,0,0
2.4266,0.065653,0.96934,6.3007,0,0
2.4466,0.063625,0.98058,6.3738,0,0
2.4651,0.061896,0.99183,6.4469,0,0
