"Mach","Pressure","p","x","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.25308,7.7547e+05,0.96933,-1.2462,1,0,-8.1,0,0
0.25395,7.7522e+05,0.96903,-1.2349,1,0.0731,-8.0269,0,0
0.25482,7.7498e+05,0.96872,-1.2237,1,0.1462,-7.9538,0,0
0.25569,7.7473e+05,0.96842,-1.2124,1,0.2193,-7.8807,0,0
0.25657,7.7449e+05,0.96811,-1.2012,1,0.2924,-7.8076,0,0
0.25744,7.7424e+05,0.9678,-1.1899,1,0.3655,-7.7345,0,0
0.25831,7.74e+05,0.9675,-1.1787,1,0.4386,-7.6614,0,0
0.25935,7.7372e+05,0.96715,-1.1674,1,0.5117,-7.5883,0,0
0.26122,7.7326e+05,0.96658,-1.1562,1,0.5848,-7.5152,0,0
0.26309,7.7281e+05,0.96601,-1.1449,1,0.6579,-7.4421,0,0
0.26496,7.7235e+05,0.96544,-1.1337,1,0.731,-7.369,0,0
0.26683,7.719e+05,0.96487,-1.1224,1,0.8041,-7.2959,0,0
0.26869,7.7145e+05,0.96431,-1.1112,1,0.8772,-7.2228,0,0
0.27056,7.7099e+05,0.96374,-1.1,1,0.9503,-7.1497,0,0
0.2728,7.7044e+05,0.96305,-1.0887,1,1.0234,-7.0766,0,0
0.2759,7.6967e+05,0.96208,-1.0775,1,1.0965,-7.0035,0,0
0.27899,7.6889e+05,0.96112,-1.0662,1,1.1696,-6.9304,0,0
0.28209,7.6812e+05,0.96015,-1.055,1,1.2427,-6.8573,0,0
0.28518,7.6735e+05,0.95918,-1.0437,1,1.3158,-6.7842,0,0
0.28828,7.6657e+05,0.95821,-1.0325,1,1.3889,-6.7111,0,0
0.29137,7.658e+05,0.95725,-1.0212,1,1.462,-6.638,0,0
0.29501,7.6487e+05,0.95609,-1.01,1,1.5351,-6.5649,0,0
0.29947,7.6373e+05,0.95466,-0.99874,1,1.6082,-6.4918,0,0
0.30392,7.6258e+05,0.95323,-0.98749,1,1.6813,-6.4187,0,0
0.30837,7.6144e+05,0.9518,-0.97625,1,1.7544,-6.3456,0,0
0.31282,7.6029e+05,0.95036,-0.965,1,1.8275,-6.2725,0,0
0.31728,7.5915e+05,0.94893,-0.95375,1,1.9006,-6.1994,0,0
0.32173,7.58e+05,0.9475,-0.94251,1,1.9737,-6.1263,0,0
0.32682,7.5664e+05,0.9458,-0.93126,1,2.0468,-6.0532,0,0
0.33274,7.5502e+05,0.94377,-0.92002,1,2.1199,-5.9801,0,0
0.33865,7.5339e+05,0.94174,-0.90877,1,2.193,-5.907,0,0
0.34457,7.5176e+05,0.9397,-0.89752,1,2.2661,-5.8339,0,0
0.35049,7.5014e+05,0.93767,-0.88628,1,2.3392,-5.7608,0,0
0.3564,7.4851e+05,0.93564,-0.87503,1,2.4123,-5.6877,0,0
0.36232,7.4688e+05,0.9336,-0.86378,1,2.4854,-5.6146,0,0
0.3689,7.4499e+05,0.93124,-0.85254,1,2.5585,-5.5415,0,0
0.37638,7.4275e+05,0.92844,-0.84129,1,2.6316,-5.4684,0,0
0.38385,7.4051e+05,0.92564,-0.83005,1,2.7047,-5.3953,0,0
0.39133,7.3827e+05,0.92284,-0.8188,1,2.7778,-5.3222,0,0
0.3988,7.3603e+05,0.92004,-0.80755,1,2.8509,-5.2491,0,0
0.40628,7.3379e+05,0.91724,-0.79631,1,2.924,-5.176,0,0
0.41375,7.3155e+05,0.91444,-0.78506,1,2.9971,-5.1029,0,0
0.42187,7.2901e+05,0.91127,-0.77382,1,3.0702,-5.0298,0,0
0.43105,7.26e+05,0.9075,-0.76257,1,3.1433,-4.9567,0,0
0.44022,7.2298e+05,0.90373,-0.75132,1,3.2164,-4.8836,0,0
0.4494,7.1996e+05,0.89995,-0.74008,1,3.2895,-4.8105,0,0
0.45858,7.1695e+05,0.89618,-0.72883,1,3.3626,-4.7374,0,0
0.46776,7.1393e+05,0.89241,-0.71758,1,3.4357,-4.6643,0,0
0.47693,7.1091e+05,0.88864,-0.70634,1,3.5088,-4.5912,0,0
0.48658,7.0763e+05,0.88453,-0.69509,1,3.5819,-4.5181,0,0
0.49747,7.0363e+05,0.87954,-0.68385,1,3.655,-4.445,0,0
0.50836,6.9963e+05,0.87454,-0.6726,1,3.7281,-4.3719,0,0
0.51925,6.9564e+05,0.86955,-0.66135,1,3.8012,-4.2988,0,0
0.53014,6.9164e+05,0.86455,-0.65011,1,3.8743,-4.2257,0,0
0.54103,6.8764e+05,0.85955,-0.63886,1,3.9474,-4.1526,0,0
0.55193,6.8365e+05,0.85456,-0.62762,1,4.0205,-4.0795,0,0
0.56299,6.7952e+05,0.8494,-0.61637,1,4.0936,-4.0064,0,0
0.57538,6.7446e+05,0.84308,-0.60512,1,4.1667,-3.9333,0,0
0.58777,6.694e+05,0.83675,-0.59388,1,4.2398,-3.8602,0,0
0.60015,6.6434e+05,0.83043,-0.58263,1,4.3129,-3.7871,0,0
0.61254,6.5928e+05,0.8241,-0.57138,1,4.386,-3.714,0,0
0.62492,6.5422e+05,0.81778,-0.56014,1,4.4591,-3.6409,0,0
0.63731,6.4916e+05,0.81146,-0.54889,1,4.5322,-3.5678,0,0
0.6497,6.441e+05,0.80513,-0.53765,1,4.6053,-3.4947,0,0
0.66315,6.3816e+05,0.79771,-0.5264,1,4.6784,-3.4216,0,0
0.6767,6.3215e+05,0.79019,-0.51515,1,4.7515,-3.3485,0,0
0.69024,6.2614e+05,0.78267,-0.50391,1,4.8246,-3.2754,0,0
0.70378,6.2013e+05,0.77516,-0.49266,1,4.8977,-3.2023,0,0
0.71733,6.1411e+05,0.76764,-0.48142,1,4.9708,-3.1292,0,0
0.73087,6.081e+05,0.76012,-0.47017,1,5.0439,-3.0561,0,0
0.74442,6.0209e+05,0.75261,-0.45892,1,5.117,-2.983,0,0
0.75857,5.9554e+05,0.74443,-0.44768,1,5.1901,-2.9099,0,0
0.77301,5.8875e+05,0.73593,-0.43643,1,5.2632,-2.8368,0,0
0.78744,5.8195e+05,0.72744,-0.42518,1,5.3363,-2.7637,0,0
0.80188,5.7516e+05,0.71894,-0.41394,1,5.4094,-2.6906,0,0
0.81632,5.6836e+05,0.71045,-0.40269,1,5.4825,-2.6175,0,0
