"Mach","Pressure","p","x","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.22265,8.6052e+06,0.95613,-1.2462,1,0,-8.1,0,0
0.22352,8.6025e+06,0.95584,-1.2349,1,0.0731,-8.0269,0,0
0.22439,8.5999e+06,0.95554,-1.2237,1,0.1462,-7.9538,0,0
0.22526,8.5972e+06,0.95524,-1.2124,1,0.2193,-7.8807,0,0
0.22612,8.5945e+06,0.95495,-1.2012,1,0.2924,-7.8076,0,0
0.22699,8.5919e+06,0.95465,-1.1899,1,0.3655,-7.7345,0,0
0.22786,8.5892e+06,0.95436,-1.1787,1,0.4386,-7.6614,0,0
0.22887,8.5859e+06,0.95398,-1.1674,1,0.5117,-7.5883,0,0
0.23055,8.5791e+06,0.95323,-1.1562,1,0.5848,-7.5152,0,0
0.23224,8.5724e+06,0.95249,-1.1449,1,0.6579,-7.4421,0,0
0.23393,8.5656e+06,0.95174,-1.1337,1,0.731,-7.369,0,0
0.23562,8.5589e+06,0.95099,-1.1224,1,0.8041,-7.2959,0,0
0.2373,8.5522e+06,0.95024,-1.1112,1,0.8772,-7.2228,0,0
0.23899,8.5454e+06,0.94949,-1.1,1,0.9503,-7.1497,0,0
0.24098,8.5378e+06,0.94864,-1.0887,1,1.0234,-7.0766,0,0
0.24364,8.528e+06,0.94756,-1.0775,1,1.0965,-7.0035,0,0
0.2463,8.5183e+06,0.94648,-1.0662,1,1.1696,-6.9304,0,0
0.24897,8.5086e+06,0.9454,-1.055,1,1.2427,-6.8573,0,0
0.25163,8.4989e+06,0.94432,-1.0437,1,1.3158,-6.7842,0,0
0.25429,8.4892e+06,0.94324,-1.0325,1,1.3889,-6.7111,0,0
0.25696,8.4794e+06,0.94216,-1.0212,1,1.462,-6.638,0,0
0.26008,8.4661e+06,0.94067,-1.01,1,1.5351,-6.5649,0,0
0.26389,8.4473e+06,0.93858,-0.99874,1,1.6082,-6.4918,0,0
0.2677,8.4285e+06,0.9365,-0.98749,1,1.6813,-6.4187,0,0
0.27151,8.4097e+06,0.93441,-0.97625,1,1.7544,-6.3456,0,0
0.27583,8.391e+06,0.93233,-0.965,1,1.8275,-6.2725,0,0
0.2802,8.3723e+06,0.93026,-0.95375,1,1.9006,-6.1994,0,0
0.28456,8.3537e+06,0.92819,-0.94251,1,1.9737,-6.1263,0,0
0.28925,8.3335e+06,0.92594,-0.93126,1,2.0468,-6.0532,0,0
0.29436,8.3113e+06,0.92348,-0.92002,1,2.1199,-5.9801,0,0
0.29946,8.2891e+06,0.92101,-0.90877,1,2.193,-5.907,0,0
0.30457,8.267e+06,0.91855,-0.89752,1,2.2661,-5.8339,0,0
0.31041,8.2405e+06,0.91561,-0.88628,1,2.3392,-5.7608,0,0
0.3163,8.2138e+06,0.91264,-0.87503,1,2.4123,-5.6877,0,0
0.3222,8.187e+06,0.90967,-0.86378,1,2.4854,-5.6146,0,0
0.32844,8.1582e+06,0.90647,-0.85254,1,2.5585,-5.5415,0,0
0.33514,8.1266e+06,0.90296,-0.84129,1,2.6316,-5.4684,0,0
0.34185,8.0951e+06,0.89945,-0.83005,1,2.7047,-5.3953,0,0
0.34855,8.0635e+06,0.89594,-0.8188,1,2.7778,-5.3222,0,0
0.356,8.0269e+06,0.89188,-0.80755,1,2.8509,-5.2491,0,0
0.36354,7.9899e+06,0.88776,-0.79631,1,2.924,-5.176,0,0
0.37107,7.9528e+06,0.88364,-0.78506,1,2.9971,-5.1029,0,0
0.37893,7.9135e+06,0.87927,-0.77382,1,3.0702,-5.0298,0,0
0.38731,7.8705e+06,0.8745,-0.76257,1,3.1433,-4.9567,0,0
0.3957,7.8275e+06,0.86972,-0.75132,1,3.2164,-4.8836,0,0
0.40409,7.7845e+06,0.86494,-0.74008,1,3.2895,-4.8105,0,0
0.41319,7.7362e+06,0.85957,-0.72883,1,3.3626,-4.7374,0,0
0.42244,7.6868e+06,0.85408,-0.71758,1,3.4357,-4.6643,0,0
0.43169,7.6373e+06,0.84859,-0.70634,1,3.5088,-4.5912,0,0
0.44119,7.5862e+06,0.84291,-0.69509,1,3.5819,-4.5181,0,0
0.45133,7.5303e+06,0.83669,-0.68385,1,3.655,-4.445,0,0
0.46146,7.4743e+06,0.83048,-0.6726,1,3.7281,-4.3719,0,0
0.4716,7.4184e+06,0.82427,-0.66135,1,3.8012,-4.2988,0,0
0.48231,7.3587e+06,0.81763,-0.65011,1,3.8743,-4.2257,0,0
0.49326,7.2972e+06,0.8108,-0.63886,1,3.9474,-4.1526,0,0
0.50422,7.2358e+06,0.80398,-0.62762,1,4.0205,-4.0795,0,0
0.51527,7.1737e+06,0.79707,-0.61637,1,4.0936,-4.0064,0,0
0.52706,7.1066e+06,0.78962,-0.60512,1,4.1667,-3.9333,0,0
0.53885,7.0395e+06,0.78217,-0.59388,1,4.2398,-3.8602,0,0
0.55064,6.9725e+06,0.77472,-0.58263,1,4.3129,-3.7871,0,0
0.56288,6.9022e+06,0.76691,-0.57138,1,4.386,-3.714,0,0
0.57554,6.829e+06,0.75877,-0.56014,1,4.4591,-3.6409,0,0
0.58819,6.7557e+06,0.75064,-0.54889,1,4.5322,-3.5678,0,0
0.60084,6.6825e+06,0.7425,-0.53765,1,4.6053,-3.4947,0,0
0.61424,6.6042e+06,0.73381,-0.5264,1,4.6784,-3.4216,0,0
0.6277,6.5256e+06,0.72506,-0.51515,1,4.7515,-3.3485,0,0
0.64116,6.4469e+06,0.71632,-0.50391,1,4.8246,-3.2754,0,0
0.65484,6.3668e+06,0.70742,-0.49266,1,4.8977,-3.2023,0,0
0.66905,6.2835e+06,0.69817,-0.48142,1,4.9708,-3.1292,0,0
0.68326,6.2002e+06,0.68891,-0.47017,1,5.0439,-3.0561,0,0
0.69747,6.1169e+06,0.67965,-0.45892,1,5.117,-2.983,0,0
0.71216,6.0313e+06,0.67014,-0.44768,1,5.1901,-2.9099,0,0
0.72708,5.9447e+06,0.66052,-0.43643,1,5.2632,-2.8368,0,0
0.742,5.8581e+06,0.6509,-0.42518,1,5.3363,-2.7637,0,0
0.75694,5.7714e+06,0.64127,-0.41394,1,5.4094,-2.6906,0,0
0.77261,5.6824e+06,0.63138,-0.40269,1,5.4825,-2.6175,0,0
0.78828,5.5934e+06,0.62149,-0.39145,1,5.5556,-2.5444,0,0
0.80395,5.5044e+06,0.6116,-0.3802,1,5.6287,-2.4713,0,0
0.81999,5.4148e+06,0.60164,-0.36895,1,5.7018,-2.3982,0,0
0.83662,5.3241e+06,0.59156,-0.35771,1,5.7749,-2.3251,0,0
0.85325,5.2333e+06,0.58148,-0.34646,1,5.848,-2.252,0,0
0.86989,5.1426e+06,0.5714,-0.33522,1,5.9211,-2.1789,0,0
0.88688,5.0496e+06,0.56107,-0.32397,1,5.9942,-2.1058,0,0
0.90402,4.9557e+06,0.55063,-0.31272,1,6.0673,-2.0327,0,0
0.92116,4.8617e+06,0.54019,-0.30148,1,6.1404,-1.9596,0,0
0.93829,4.768e+06,0.52978,-0.29023,1,6.2135,-1.8865,0,0
0.95497,4.6841e+06,0.52045,-0.27898,1,6.2866,-1.8134,0,0
0.97166,4.6001e+06,0.51112,-0.26774,1,6.3597,-1.7403,0,0
0.98834,4.5161e+06,0.50179,-0.25649,1,6.4328,-1.6672,0,0
1.005,4.4321e+06,0.49246,-0.24525,1,6.5059,-1.5941,0,0
1.0217,4.3482e+06,0.48313,-0.234,1,6.579,-1.521,0,0
1.0384,4.2642e+06,0.4738,-0.22275,1,6.6521,-1.4479,0,0
1.0551,4.1802e+06,0.46447,-0.21151,1,6.7252,-1.3748,0,0
1.0726,4.0992e+06,0.45547,-0.20026,1,6.7983,-1.3017,0,0
1.0905,4.02e+06,0.44667,-0.18902,1,6.8714,-1.2286,0,0
1.1084,3.9408e+06,0.43787,-0.17777,1,6.9445,-1.1555,0,0
1.1263,3.8616e+06,0.42907,-0.16652,1,7.0176,-1.0824,0,0
1.1443,3.7824e+06,0.42027,-0.15528,1,7.0907,-1.0093,0,0
1.1622,3.7032e+06,0.41147,-0.14403,1,7.1638,-0.9362,0,0
